key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-no-greek-no-html	crum-page	crum-column	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
1028	145	0	$^atm.^$	6				200a	5	2010-02-04	1900-01-01	vagrant		(ⲁⲧⲙ.)	(ⲁⲧⲙ.)	(ⲁⲧⲙ.)	(ⲁⲧⲙ.)	(ⲁⲧⲙ.) (adj.)	adjective						200	a											0
1029	145	1028	(S,B) mnt..atm.	0	absence of thought	absence of thought		200a	6	2010-02-04	1900-01-01	vagrant		(S, B) ⲙⲛⲧⲁⲧⲙ.	(S, B) ⲙⲛⲧⲁⲧⲙ.	(S, B) ⲙⲛⲧⲁⲧⲙ.	(S, B) ⲙⲛⲧⲁⲧⲙ.	(S, B) ⲙⲛⲧⲁⲧⲙ.	-		absence of thought	absence of thought	absence of thought	absence of thought	200	a	ⲙⲛⲧⲁⲧⲙ.					ⲙⲛⲧⲁⲧⲙ.					1
1030	145	0	(S,A) reFm.	0	one who thinks /$gk: [[bouleuwn]]$/	one who thinks /$gk: [[bouleuwn]]$/	bouleuwn	200a	7	2010-02-04	1900-01-01	vagrant		(S, A) ⲣⲉϥⲙ.	(S, A) ⲣⲉϥⲙ.	(S, A) ⲣⲉϥⲙ.	(S, A) ⲣⲉϥⲙ.	(S, A) ⲣⲉϥⲙ.	-	βουλευων	one who thinks [βουλευων]	one who thinks [βουλευων]	one who thinks	one who thinks	200	a	ⲣⲉϥⲙ.			ⲣⲉϥⲙ.							0
1031	145	0	(S,B) T m.,T nm.,T mpm.	0	cause thought, suggest, remind	cause thought, suggest, remind		200b	8	2010-02-04	1900-01-01	vagrant		(S, B) ϯ ⲙ., ϯ ⲛⲙ., ϯ ⲙⲡⲙ.	(S, B) ϯ ⲙ., ϯ ⲛⲙ., ϯ ⲙⲡⲙ.	(S, B) ϯ ⲙ., ϯ ⲛⲙ., ϯ ⲙⲡⲙ.	(S, B) ϯ ⲙ., ϯ ⲛⲙ., ϯ ⲙⲡⲙ.	(S, B) ϯ ⲙ., ϯ ⲛⲙ., ϯ ⲙⲡⲙ.	-		cause thought, suggest, remind	cause thought, suggest, remind	cause thought, suggest, remind	cause thought, suggest, remind	200	b	ϯ ⲙ., ϯ ⲛⲙ., ϯ ⲙⲡⲙ.					ϯ ⲙ., ϯ ⲛⲙ., ϯ ⲙⲡⲙ.					0
1032	145	0	(F) Ji mpm.	0	esteem	esteem		200b	9	2010-02-04	1900-01-01	vagrant		(F) ϫⲓ ⲙⲡⲙ.	(F) ϫⲓ ⲙⲡⲙ.	(F) ϫⲓ ⲙⲡⲙ.	(F) ϫⲓ ⲙⲡⲙ.	(F) ϫⲓ ⲙⲡⲙ.	-		esteem	esteem	esteem	esteem	200	b							ϫⲓ ⲙⲡⲙ.				0
1033	145	0	(B) Jinm.	0	thinking, esteem	thinking, esteem		200b	10	2010-02-04	1900-01-01	vagrant		(B) ϫⲓⲛⲙ.	(B) ϫⲓⲛⲙ.	(B) ϫⲓⲛⲙ.	(B) ϫⲓⲛⲙ.	(B) ϫⲓⲛⲙ.	-		thinking, esteem	thinking, esteem	thinking, esteem	thinking, esteem	200	b						ϫⲓⲛⲙ.					0
1034	145	0	(S,A,sA,B,F) r pm.,er fm.	0	have mind of, remember |$ (no obj) |$ (+ [Je]), remember that |$ (+ [Jekaas]) |$ (c + gen [n-])	have mind of, remember |$ (no obj) |$ (+ [Je]), remember that |$ (+ [Jekaas]) |$ (c + gen [n-])		200b	11	2010-02-04	1900-01-01	vagrant		(S, A, sA, B, F) ⲣ ⲡⲙ., ⲉⲣ ⲫⲙ.	(S, A, sA, B, F) ⲣ ⲡⲙ., ⲉⲣ ⲫⲙ.	(S, A, sA, B, F) ⲣ ⲡⲙ., ⲉⲣ ⲫⲙ.	(S, A, sA, B, F) ⲣ ⲡⲙ., ⲉⲣ ⲫⲙ.	(S, A, sA, B, F) ⲣ ⲡⲙ., ⲉⲣ ⲫⲙ.	-		"have mind of, remember
― <i>no obj</i>
― <i>+ ϫⲉ</i>, remember that
― <i>+ ϫⲉⲕⲁⲁⲥ</i>
― <i>c + gen ⲛ-</i>"	"have mind of, remember
― no obj
― + ϫⲉ, remember that
― + ϫⲉⲕⲁⲁⲥ
― c + gen ⲛ-"	"have mind of, remember
― <i>no obj</i>
― <i>+ ϫⲉ</i>, remember that
― <i>+ ϫⲉⲕⲁⲁⲥ</i>
― <i>c + gen ⲛ-</i>"	"have mind of, remember
― no obj
― + ϫⲉ, remember that
― + ϫⲉⲕⲁⲁⲥ
― c + gen ⲛ-"	200	b	ⲣ ⲡⲙ., ⲉⲣ ⲫⲙ.			ⲣ ⲡⲙ., ⲉⲣ ⲫⲙ.	ⲣ ⲡⲙ., ⲉⲣ ⲫⲙ.	ⲣ ⲡⲙ., ⲉⲣ ⲫⲙ.	ⲣ ⲡⲙ., ⲉⲣ ⲫⲙ.				0
1035	145	1034	(S,A,B,F) ..r pm.	1	remembrance /$gk: [[mnhmh]]$/	remembrance /$gk: [[mnhmh]]$/	mnhmh	200b	12	2010-02-04	2010-02-04	vagrant	vagrant	(S, A, B, F) ⲣ ⲡⲙ.	(S, A, B, F) ⲣ ⲡⲙ.	(S, A, B, F) ⲣ ⲡⲙ.	(S, A, B, F) ⲣ ⲡⲙ.	(S, A, B, F) ⲣ ⲡⲙ. (ⲡ)	noun male	μνημη	remembrance [μνημη]	remembrance [μνημη]	remembrance	remembrance	200	b	ⲣ ⲡⲙ. (ⲡ)			ⲣ ⲡⲙ. (ⲡ)		ⲣ ⲡⲙ. (ⲡ)	ⲣ ⲡⲙ. (ⲡ)				1
1036	145	1035	(S,B) T pe..r pm.	0	remind	remind		200b	13	2010-02-04	2010-02-04	vagrant	vagrant	(S, B) ϯ ⲡⲉⲣ ⲡⲙ.	(S, B) ϯ ⲡⲉⲣ ⲡⲙ.	(S, B) ϯ ⲡⲉⲣ ⲡⲙ.	(S, B) ϯ ⲡⲉⲣ ⲡⲙ.	(S, B) ϯ ⲡⲉⲣ ⲡⲙ.	-		remind	remind	remind	remind	200	b	ϯ ⲡⲉⲣ ⲡⲙ.					ϯ ⲡⲉⲣ ⲡⲙ.					2
1037	145	1034	(B) Gi ou..er fm.	0	get remembrance, be remembered	get remembrance, be remembered		200b	14	2010-02-04	2010-03-07	vagrant	vagrant	(B) ϭⲓ ⲟⲩⲉⲣ ⲫⲙ.	(B) ϭⲓ ⲟⲩⲉⲣ ⲫⲙ.	(B) ϭⲓ ⲟⲩⲉⲣ ⲫⲙ.	(B) ϭⲓ ⲟⲩⲉⲣ ⲫⲙ.	(B) ϭⲓ ⲟⲩⲉⲣ ⲫⲙ.	-		get remembrance, be remembered	get remembrance, be remembered	get remembrance, be remembered	get remembrance, be remembered	200	b						ϭⲓ ⲟⲩⲉⲣ ⲫⲙ.					1
1038	145	1034	(B) Se n..er fm.	1	remembrance	remembrance		201a	15	2010-02-04	2010-03-07	vagrant	vagrant	(B) ϣⲉ ⲛⲉⲣ ⲫⲙ.	(B) ϣⲉ ⲛⲉⲣ ⲫⲙ.	(B) ϣⲉ ⲛⲉⲣ ⲫⲙ.	(B) ϣⲉ ⲛⲉⲣ ⲫⲙ.	(B) ϣⲉ ⲛⲉⲣ ⲫⲙ. (ⲡ)	noun male		remembrance	remembrance	remembrance	remembrance	201	a						ϣⲉ ⲛⲉⲣ ⲫⲙ. (ⲡ)					1
1039	145	1034	(B) Jin..er fm.	22	(meaning same) /$gk: [[mnhmosinon]]$/	(meaning same) /$gk: [[mnhmosinon]]$/	mnhmosinon	201a	16	2010-02-04	2010-03-07	vagrant	vagrant	(B) ϫⲓⲛⲉⲣ ⲫⲙ.	(B) ϫⲓⲛⲉⲣ ⲫⲙ.	(B) ϫⲓⲛⲉⲣ ⲫⲙ.	(B) ϫⲓⲛⲉⲣ ⲫⲙ.	(B) ϫⲓⲛⲉⲣ ⲫⲙ. (ⲡ/ⲧ)	noun male/female	μνημοσινον	<i>meaning same</i> [μνημοσινον]	meaning same [μνημοσινον]	<i>meaning same</i>	meaning same	201	a						ϫⲓⲛⲉⲣ ⲫⲙ. (ⲡ/ⲧ)					1
4611	146	0		99	With following preposition:	With following preposition:		271b	1	2010-04-08	1900-01-01	vagrant							HEADER		With following preposition:	With following preposition:	With following preposition:	With following preposition:	271	b											0
4612	146	4611	(S,A,sA,B,F,O) ^^ e-	2	{intr:} be divided from | {tr:} divide from | | {intr:} be divided into | {tr:} divide into	{intr:} be divided from | {tr:} divide from | | {intr:} be divided into | {tr:} divide into		271b	2	2010-04-08	2010-04-08	vagrant	vagrant	(S, A, sA, B, F, O) ― ⲉ-	(S, A, sA, B, F, O) ― ⲉ-	(S, A, sA, B, F, O) ― ⲉ-	(S, A, sA, B, F, O) ― ⲉ-	(S, A, sA, B, F, O) ― ⲉ-	verb		"<b>intr:</b> be divided from
<b>tr:</b> divide from
| <b>intr:</b> be divided into
<b>tr:</b> divide into"	"intr: be divided from
tr: divide from
| intr: be divided into
tr: divide into"	"<b>intr:</b> be divided from
<b>tr:</b> divide from
| <b>intr:</b> be divided into
<b>tr:</b> divide into"	"intr: be divided from
tr: divide from
| intr: be divided into
tr: divide into"	271	b	― ⲉ-			― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-		― ⲉ-		1
4613	146	4611	(B) ^^ eJen-	2	{intr:} be divided from	{intr:} be divided from		272a	3	2010-04-08	2010-04-08	vagrant	vagrant	(B) ― ⲉϫⲉⲛ-	(B) ― ⲉϫⲉⲛ-	(B) ― ⲉϫⲉⲛ-	(B) ― ⲉϫⲉⲛ-	(B) ― ⲉϫⲉⲛ-	verb		<b>intr:</b> be divided from	intr: be divided from	<b>intr:</b> be divided from	intr: be divided from	272	a						― ⲉϫⲉⲛ-					1
4614	146	4611	(S,B) ^^ n-	2	{intr:} part from | {tr:} separate from	{intr:} part from | {tr:} separate from		272a	4	2010-04-08	2010-04-08	vagrant	vagrant	(S, B) ― ⲛ-	(S, B) ― ⲛ-	(S, B) ― ⲛ-	(S, B) ― ⲛ-	(S, B) ― ⲛ-	verb		"<b>intr:</b> part from
<b>tr:</b> separate from"	"intr: part from
tr: separate from"	"<b>intr:</b> part from
<b>tr:</b> separate from"	"intr: part from
tr: separate from"	272	a	― ⲛ-					― ⲛ-					1
4615	146	4611	(S,B,O) ^^ Hn-,^^ Ken-	2	{intr:} divide in, between	{intr:} divide in, between		272a	5	2010-04-08	2010-04-08	vagrant	vagrant	(S, B, O) ― ϩⲛ-, ― ϧⲉⲛ-	(S, B, O) ― ϩⲛ-, ― ϧⲉⲛ-	(S, B, O) ― ϩⲛ-, ― ϧⲉⲛ-	(S, B, O) ― ϩⲛ-, ― ϧⲉⲛ-	(S, B, O) ― ϩⲛ-, ― ϧⲉⲛ-	verb		<b>intr:</b> divide in, between	intr: divide in, between	<b>intr:</b> divide in, between	intr: divide in, between	272	a	― ϩⲛ-, ― ϧⲉⲛ-					― ϩⲛ-, ― ϧⲉⲛ-			― ϩⲛ-, ― ϧⲉⲛ-		1
4616	146	0		99	With following adverb:	With following adverb:		272a	6	2010-04-08	1900-01-01	vagrant							HEADER		With following adverb:	With following adverb:	With following adverb:	With following adverb:	272	a											0
4617	146	4616	(S,A,B,F) ^^ ebol	2	{intr:} separate, divide /$gk: [[orizein, afistanai]]$/ | {tr:} divide, set apart	{intr:} separate, divide /$gk: [[orizein, afistanai]]$/ | {tr:} divide, set apart	orizein, afistanai	272a	7	2010-04-08	1900-01-01	vagrant		(S, A, B, F) ― ⲉⲃⲟⲗ	(S, A, B, F) ― ⲉⲃⲟⲗ	(S, A, B, F) ― ⲉⲃⲟⲗ	(S, A, B, F) ― ⲉⲃⲟⲗ	(S, A, B, F) ― ⲉⲃⲟⲗ	verb	οριζειν, αφισταναι	"<b>intr:</b> separate, divide [οριζειν, αφισταναι]
<b>tr:</b> divide, set apart"	"intr: separate, divide [οριζειν, αφισταναι]
tr: divide, set apart"	"<b>intr:</b> separate, divide 
<b>tr:</b> divide, set apart"	"intr: separate, divide 
tr: divide, set apart"	272	a	― ⲉⲃⲟⲗ			― ⲉⲃⲟⲗ		― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ				1
5874	146	4617		99	tr :	tr :		272a	8	2010-06-25	1900-01-01	vagrant							HEADER		tr :	tr :	tr :	tr :	272	a											2
5875	146	5874	(S) ^^^ *^[ebol]^* e-	0	{intr:} be divided into | {tr:} separate from	{intr:} be divided into | {tr:} separate from		272a	9	2010-06-25	1900-01-01	vagrant		(S) <i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉ-	(S) <i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉ-	(S) c {ⲉⲃⲟⲗ} ⲉ-	(S) c {ⲉⲃⲟⲗ} ⲉ-	(S) {ⲉⲃⲟⲗ} ⲉ- (c)	-		"<b>intr:</b> be divided into
<b>tr:</b> separate from"	"intr: be divided into
tr: separate from"	"<b>intr:</b> be divided into
<b>tr:</b> separate from"	"intr: be divided into
tr: separate from"	272	a	{ⲉⲃⲟⲗ} ⲉ- (c)										3
5876	146	5874	(S) ^^^ *^[ebol]^* eJn-	0	{intr:} 	{intr:} 		272a	10	2010-06-25	1900-01-01	vagrant		(S) <i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉϫⲛ-	(S) <i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉϫⲛ-	(S) c {ⲉⲃⲟⲗ} ⲉϫⲛ-	(S) c {ⲉⲃⲟⲗ} ⲉϫⲛ-	(S) {ⲉⲃⲟⲗ} ⲉϫⲛ- (c)	-		<b>intr:</b>	intr:	<b>intr:</b>	intr:	272	a	{ⲉⲃⲟⲗ} ⲉϫⲛ- (c)										3
5877	146	5874	^^^ *^[ebol]^* n-	0	part from |$ {intr:} |$ {tr:} 	part from |$ {intr:} |$ {tr:} 		272a	11	2010-06-25	1900-01-01	vagrant		<i><b>c</b></i> {ⲉⲃⲟⲗ} ⲛ-	<i><b>c</b></i> {ⲉⲃⲟⲗ} ⲛ-	c {ⲉⲃⲟⲗ} ⲛ-	c {ⲉⲃⲟⲗ} ⲛ-	{ⲉⲃⲟⲗ} ⲛ- (c)	-		"part from
― <b>intr:</b>
― <b>tr:</b>"	"part from
― intr:
― tr:"	"part from
― <b>intr:</b>
― <b>tr:</b>"	"part from
― intr:
― tr:"	272	a											3
5878	146	5874	(B) ^^^ *^[ebol]^* Ken-	0	(meaning same) |$ {intr:} |$ {tr:} (S,B,F)	(meaning same) |$ {intr:} |$ {tr:} (S,B,F)		272b	12	2010-06-25	1900-01-01	vagrant		(B) <i><b>c</b></i> {ⲉⲃⲟⲗ} ϧⲉⲛ-	(B) <i><b>c</b></i> {ⲉⲃⲟⲗ} ϧⲉⲛ-	(B) c {ⲉⲃⲟⲗ} ϧⲉⲛ-	(B) c {ⲉⲃⲟⲗ} ϧⲉⲛ-	(B) {ⲉⲃⲟⲗ} ϧⲉⲛ- (c)	-		"<i>meaning same</i>
― <b>intr:</b>
― <b>tr:</b> <i>S,B,F</i>"	"meaning same
― intr:
― tr: S,B,F"	"<i>meaning same</i>
― <b>intr:</b>
― <b>tr:</b> <i>S,B,F</i>"	"meaning same
― intr:
― tr: S,B,F"	272	b						{ⲉⲃⲟⲗ} ϧⲉⲛ- (c)					3
5879	146	5874	(B) ^^^ *^[ebol]^* nten-	0	{tr:} separate in respect of	{tr:} separate in respect of		272b	13	2010-06-25	1900-01-01	vagrant		(B) <i><b>c</b></i> {ⲉⲃⲟⲗ} ⲛⲧⲉⲛ-	(B) <i><b>c</b></i> {ⲉⲃⲟⲗ} ⲛⲧⲉⲛ-	(B) c {ⲉⲃⲟⲗ} ⲛⲧⲉⲛ-	(B) c {ⲉⲃⲟⲗ} ⲛⲧⲉⲛ-	(B) {ⲉⲃⲟⲗ} ⲛⲧⲉⲛ- (c)	-		<b>tr:</b> separate in respect of	tr: separate in respect of	<b>tr:</b> separate in respect of	tr: separate in respect of	272	b						{ⲉⲃⲟⲗ} ⲛⲧⲉⲛ- (c)					3
5880	146	5874	(B) ^^^ *^[ebol]^* oute-	0	{intr:} divide between	{intr:} divide between		272b	14	2010-06-25	1900-01-01	vagrant		(B) <i><b>c</b></i> {ⲉⲃⲟⲗ} ⲟⲩⲧⲉ-	(B) <i><b>c</b></i> {ⲉⲃⲟⲗ} ⲟⲩⲧⲉ-	(B) c {ⲉⲃⲟⲗ} ⲟⲩⲧⲉ-	(B) c {ⲉⲃⲟⲗ} ⲟⲩⲧⲉ-	(B) {ⲉⲃⲟⲗ} ⲟⲩⲧⲉ- (c)	-		<b>intr:</b> divide between	intr: divide between	<b>intr:</b> divide between	intr: divide between	272	b						{ⲉⲃⲟⲗ} ⲟⲩⲧⲉ- (c)					3
5881	146	5874	(B) ^^^ *^[ebol]^* Ha-	0	{tr:} part from	{tr:} part from		272b	15	2010-06-25	1900-01-01	vagrant		(B) <i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲁ-	(B) <i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲁ-	(B) c {ⲉⲃⲟⲗ} ϩⲁ-	(B) c {ⲉⲃⲟⲗ} ϩⲁ-	(B) {ⲉⲃⲟⲗ} ϩⲁ- (c)	-		<b>tr:</b> part from	tr: part from	<b>tr:</b> part from	tr: part from	272	b						{ⲉⲃⲟⲗ} ϩⲁ- (c)					3
5882	146	5874	(S) ^^^ *^[ebol]^* Hi-	0	{tr:} remove from off	{tr:} remove from off		272b	16	2010-06-25	1900-01-01	vagrant		(S) <i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓ-	(S) <i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓ-	(S) c {ⲉⲃⲟⲗ} ϩⲓ-	(S) c {ⲉⲃⲟⲗ} ϩⲓ-	(S) {ⲉⲃⲟⲗ} ϩⲓ- (c)	-		<b>tr:</b> remove from off	tr: remove from off	<b>tr:</b> remove from off	tr: remove from off	272	b	{ⲉⲃⲟⲗ} ϩⲓ- (c)										3
5883	146	5874	(B) ^^^ *^[ebol]^* HiJen-	0				272b	17	2010-06-25	1900-01-01	vagrant		(B) <i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ-	(B) <i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ-	(B) c {ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ-	(B) c {ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ-	(B) {ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ- (c)	-						272	b						{ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ- (c)					3
4618	146	4616	(B) ^^ sabol n-	2	part from |$ {intr:} |$ {tr:} 	part from |$ {intr:} |$ {tr:} 		272b	18	2010-04-08	1900-01-01	vagrant		(B) ― ⲥⲁⲃⲟⲗ ⲛ-	(B) ― ⲥⲁⲃⲟⲗ ⲛ-	(B) ― ⲥⲁⲃⲟⲗ ⲛ-	(B) ― ⲥⲁⲃⲟⲗ ⲛ-	(B) ― ⲥⲁⲃⲟⲗ ⲛ-	verb		"part from
― <b>intr:</b>
― <b>tr:</b>"	"part from
― intr:
― tr:"	"part from
― <b>intr:</b>
― <b>tr:</b>"	"part from
― intr:
― tr:"	272	b						― ⲥⲁⲃⲟⲗ ⲛ-					1
4619	146	4616	(Sf,F) ^^ Habal n-	2	{intr:} (meaning same)	{intr:} (meaning same)		272b	19	2010-04-08	1900-01-01	vagrant		(Sf, F) ― ϩⲁⲃⲁⲗ ⲛ-	(Sf, F) ― ϩⲁⲃⲁⲗ ⲛ-	(Sf, F) ― ϩⲁⲃⲁⲗ ⲛ-	(Sf, F) ― ϩⲁⲃⲁⲗ ⲛ-	(Sf, F) ― ϩⲁⲃⲁⲗ ⲛ-	verb		<b>intr:</b> <i>meaning same</i>	intr: meaning same	<b>intr:</b> <i>meaning same</i>	intr: meaning same	272	b			― ϩⲁⲃⲁⲗ ⲛ-				― ϩⲁⲃⲁⲗ ⲛ-				1
4620	146	4616	(S,B) ^^ eHrai eJn-	0	divide, scatter upon	divide, scatter upon		272b	20	2010-04-08	1900-01-01	vagrant		(S, B) ― ⲉϩⲣⲁⲓ ⲉϫⲛ-	(S, B) ― ⲉϩⲣⲁⲓ ⲉϫⲛ-	(S, B) ― ⲉϩⲣⲁⲓ ⲉϫⲛ-	(S, B) ― ⲉϩⲣⲁⲓ ⲉϫⲛ-	(S, B) ― ⲉϩⲣⲁⲓ ⲉϫⲛ-	-		divide, scatter upon	divide, scatter upon	divide, scatter upon	divide, scatter upon	272	b	― ⲉϩⲣⲁⲓ ⲉϫⲛ-					― ⲉϩⲣⲁⲓ ⲉϫⲛ-					1
1432	146	0	(S,B,F) ^^ (sA) praJ	1	separation, parting	separation, parting	sxisma, dixostasia	272b	21	2010-02-09	1900-01-01	vagrant		"(S, B, F) ―
(sA) ⲡⲣⲁϫ"	"(S, B, F) ―
(sA) ⲡⲣⲁϫ"	"(S, B, F) ―
(sA) ⲡⲣⲁϫ"	"(S, B, F) ―
(sA) ⲡⲣⲁϫ"	"(S, B, F) ― (ⲡ)
(sA) ⲡⲣⲁϫ (ⲡ)"	noun male	σχισμα, διχοστασια	separation, parting	separation, parting	separation, parting	separation, parting	272	b	― (ⲡ)				ⲡⲣⲁϫ (ⲡ)	― (ⲡ)	― (ⲡ)				0
1433	146	1432	(S,B) atp.,aqf.,$^atf.^$ *^nic^*	6	undivided, indivisible	undivided, indivisible		272b	22	2010-02-09	2010-04-08	vagrant	vagrant	(S, B) ⲁⲧⲡ., ⲁⲑⲫ., (ⲁⲧⲫ.) {nic}	(S, B) ⲁⲧⲡ., ⲁⲑⲫ., (ⲁⲧⲫ.) {nic}	(S, B) ⲁⲧⲡ., ⲁⲑⲫ., (ⲁⲧⲫ.) {nic}	(S, B) ⲁⲧⲡ., ⲁⲑⲫ., (ⲁⲧⲫ.) {nic}	(S, B) ⲁⲧⲡ., ⲁⲑⲫ., (ⲁⲧⲫ.) {nic} (adj.)	adjective		undivided, indivisible	undivided, indivisible	undivided, indivisible	undivided, indivisible	272	b	ⲁⲧⲡ., ⲁⲑⲫ., (ⲁⲧⲫ.) {nic} (adj.)					ⲁⲧⲡ., ⲁⲑⲫ., (ⲁⲧⲫ.) {nic} (adj.)					1
1434	146	1433	(S) r ..atp.	0	be inseparable	be inseparable		272b	23	2010-02-09	1900-01-01	vagrant		(S) ⲣ ⲁⲧⲡ.	(S) ⲣ ⲁⲧⲡ.	(S) ⲣ ⲁⲧⲡ.	(S) ⲣ ⲁⲧⲡ.	(S) ⲣ ⲁⲧⲡ.	-		be inseparable	be inseparable	be inseparable	be inseparable	272	b	ⲣ ⲁⲧⲡ.										2
1435	146	1433	(S,B) mnt..atp.,met..atf.	0	indivisibility	indivisibility		272b	24	2010-02-09	1900-01-01	vagrant		(S, B) ⲙⲛⲧⲁⲧⲡ., ⲙⲉⲧⲁⲧⲫ.	(S, B) ⲙⲛⲧⲁⲧⲡ., ⲙⲉⲧⲁⲧⲫ.	(S, B) ⲙⲛⲧⲁⲧⲡ., ⲙⲉⲧⲁⲧⲫ.	(S, B) ⲙⲛⲧⲁⲧⲡ., ⲙⲉⲧⲁⲧⲫ.	(S, B) ⲙⲛⲧⲁⲧⲡ., ⲙⲉⲧⲁⲧⲫ.	-		indivisibility	indivisibility	indivisibility	indivisibility	272	b	ⲙⲛⲧⲁⲧⲡ., ⲙⲉⲧⲁⲧⲫ.					ⲙⲛⲧⲁⲧⲡ., ⲙⲉⲧⲁⲧⲫ.					2
1436	146	1432	(S) ma np.	0	place of dividing, frontier	place of dividing, frontier		273a	25	2010-02-09	2010-04-08	vagrant	vagrant	(S) ⲙⲁ ⲛⲡ.	(S) ⲙⲁ ⲛⲡ.	(S) ⲙⲁ ⲛⲡ.	(S) ⲙⲁ ⲛⲡ.	(S) ⲙⲁ ⲛⲡ.	-		place of dividing, frontier	place of dividing, frontier	place of dividing, frontier	place of dividing, frontier	273	a	ⲙⲁ ⲛⲡ.										1
1437	146	1432	(S) reFp.	0	divider /$gk: [[merisths]]$/	divider /$gk: [[merisths]]$/	merisths	273a	26	2010-02-09	2010-04-08	vagrant	vagrant	(S) ⲣⲉϥⲡ.	(S) ⲣⲉϥⲡ.	(S) ⲣⲉϥⲡ.	(S) ⲣⲉϥⲡ.	(S) ⲣⲉϥⲡ.	-	μεριστησ	divider [μεριστησ]	divider [μεριστησ]	divider	divider	273	a	ⲣⲉϥⲡ.										1
1438	146	1432	(S,B) Ginp.,Jinf.	0	separation, parting	separation, parting		273a	27	2010-02-09	2010-04-08	vagrant	vagrant	(S, B) ϭⲓⲛⲡ., ϫⲓⲛⲫ.	(S, B) ϭⲓⲛⲡ., ϫⲓⲛⲫ.	(S, B) ϭⲓⲛⲡ., ϫⲓⲛⲫ.	(S, B) ϭⲓⲛⲡ., ϫⲓⲛⲫ.	(S, B) ϭⲓⲛⲡ., ϫⲓⲛⲫ.	-		separation, parting	separation, parting	separation, parting	separation, parting	273	a	ϭⲓⲛⲡ., ϫⲓⲛⲫ.					ϭⲓⲛⲡ., ϫⲓⲛⲫ.					1
7217	148	0		99	With following preposition or adverb:	With following preposition or adverb:		537a	1	2010-08-09	1900-01-01	vagrant							HEADER		With following preposition or adverb:	With following preposition or adverb:	With following preposition or adverb:	With following preposition or adverb:	537	a											0
7218	148	7217	(S,A,B) ^^^ e-	0	abide by, wait for	abide by, wait for		537a	2	2010-08-09	1900-01-01	vagrant		(S, A, B) <i><b>c</b></i> ⲉ-	(S, A, B) <i><b>c</b></i> ⲉ-	(S, A, B) c ⲉ-	(S, A, B) c ⲉ-	(S, A, B) ⲉ- (c)	-		abide by, wait for	abide by, wait for	abide by, wait for	abide by, wait for	537	a	ⲉ- (c)			ⲉ- (c)		ⲉ- (c)					1
7219	148	7217	(S,B) ^^^ mn-,^^^ nem-	0	stay with	stay with		537a	3	2010-08-09	1900-01-01	vagrant		(S, B) <i><b>c</b></i> ⲙⲛ-, <i><b>c</b></i> ⲛⲉⲙ-	(S, B) <i><b>c</b></i> ⲙⲛ-, <i><b>c</b></i> ⲛⲉⲙ-	(S, B) c ⲙⲛ-, c ⲛⲉⲙ-	(S, B) c ⲙⲛ-, c ⲛⲉⲙ-	(S, B) ⲙⲛ-, ⲛⲉⲙ- (c)	-		stay with	stay with	stay with	stay with	537	a	ⲙⲛ-, ⲛⲉⲙ- (c)					ⲙⲛ-, ⲛⲉⲙ- (c)					1
7220	148	7217	(S,B) ^^^ n-	0	wait for, attend to | as, for	wait for, attend to | as, for		537a	4	2010-08-09	1900-01-01	vagrant		(S, B) <i><b>c</b></i> ⲛ-	(S, B) <i><b>c</b></i> ⲛ-	(S, B) c ⲛ-	(S, B) c ⲛ-	(S, B) ⲛ- (c)	-		"wait for, attend to
as, for"	"wait for, attend to
as, for"	"wait for, attend to
as, for"	"wait for, attend to
as, for"	537	a	ⲛ- (c)					ⲛ- (c)					1
7221	148	7217	(S,B) ^^^ oube-	0	stand before, against	stand before, against		537a	5	2010-08-09	1900-01-01	vagrant		(S, B) <i><b>c</b></i> ⲟⲩⲃⲉ-	(S, B) <i><b>c</b></i> ⲟⲩⲃⲉ-	(S, B) c ⲟⲩⲃⲉ-	(S, B) c ⲟⲩⲃⲉ-	(S, B) ⲟⲩⲃⲉ- (c)	-		stand before, against	stand before, against	stand before, against	stand before, against	537	a	ⲟⲩⲃⲉ- (c)					ⲟⲩⲃⲉ- (c)					1
