Marcion	Crum	_v_	Entry
1270	41a	v	[[[ⲃⲉⲛⲛⲏ]]] [[B]] __portal__ _v_ [[ⲡⲛⲛⲏ]].
353	41a		[[[ⲃⲉⲛⲓⲡⲉ]]] (PS 212, PLond 4 515, Ann 22 270) [[S]], (AZ 21 100) [[O]], [[ⲡⲉⲛⲓⲡⲉ]] (PS 101, 108 & _pass_, KroppB), [[ⲃⲓⲛⲓⲃⲉ]] (BKU 1 1 ro, 21 ro), [[ⲡⲓⲛⲓⲡⲉ]] (Ryl 365, J 113 6, ST 30), [[ⲃⲁⲛⲓⲡⲉ]] (Hall 82, 131, TurM 18, ST 294, 437), [[ⲡⲁⲛⲓⲡ]] (_sic_ PMich '21) [[S]], [[ⲃⲁⲛⲓⲡⲉ]] [[A]], [[ⲃⲉⲛⲓⲡⲓ]] [[B]][[F]][[O]], [[ⲡⲉⲛⲓⲡⲉ]], [[ⲃⲓⲛⲓⲡⲓ]] [[F]] ([[ⲃⲁ-]], [[ⲃⲉ-]] ? __metal__, as in [[ⲃⲁⲣⲱⲧ]], [[ⲃⲁⲥⲛⲉϭ]], _v_ AZ 53, 51) nn m, __iron__ *I.* as metal: Job 28 2 [[S]][[B]], 41 18 [[S]][[B]], Is 60 17 [[S]][[B]], Ez 27 19 [[S]][[B]] [[σίδηρος]], PS 212 [[S]]; Job 6 12, 20 24 &c [[S]] [[χάλκειος]] (mostly = [[B]] [[ϩⲟⲙⲧ]]); opp [[ϩⲟⲙⲛⲧ]]: Ge 4 22 [[S]][[B]], Lev 26 19 [[S]][[B]], BG 74 [[ⲫⲟⲙⲛⲧ ⲙⲛⲡⲡ.]]; opp [[ⲗⲁⲓⲛ]]: BM 174 1, PS _l c_; opp [[ⲃⲁⲣⲱⲧ]]: J 38 23, 68 30 [[S]].\n*II.* *a.* as chains, fetters: Ps 106 10 [[S]][[B]] [[σίδ.]], Mor 53 28 [[S]] = TstAb 32 [[B]] [[ⲛⲛⲉⲡ. ϫⲓ ⲙⲡⲉϥⲥⲱⲙⲁ]] BIF 15 242 [[S]] [[ⲉⲕⲙⲏⲣ ϩⲙⲡⲡ.]], C 43 211 [[B]] [[ⲉϥⲧⲁϫⲣⲏⲟⲩⲧ ⲛⲃ.]], P 129^16 10 [[S]] [[ⲉϥⲙⲏⲣ ⲉⲡⲡ. ⲙⲛⲛⲉⲩⲉⲣⲏⲩ]], BMar 21 [[S]] [[ⲁϥϫⲣϫⲱⲗϥ ⲧⲏⲣϥ ⲙⲡ.]] from head to feet, PGol 17 [[S]] [[ⲟⲩⲡ.]] on Martyria's right hand and her father's left, RNC 83 [[S]] [[ϩⲉⲛⲡ. ⲛϩⲟⲙⲛⲧ]] bronze chains, _cf_ ? Ryl 102 [[S]] [[ⲡ. ⲛϣⲉ ⲛⲕⲁϣⲟϣ]].\n*b.* as sword: Job 5 20, 15 22 [[S]][[B]] as Gk; surgical: Z 278 [[S]], Va 63 102 [[B]] cauterizing iron, Va 57 226 [[B]] woodman's, Cat 112 [[B]] razor, Si 48 21 [[S]], Is 44 12 [[B]], WS 122 [[S]], AM 273 [[B]], AZ 21 100 [[O]] iron tool; here ? Ryl 365 [[S]] [[ⲡϣⲏⲙ ⲙⲡ.]], WS 122 [[S]] [[ⲟⲩⲛⲟϭ ⲙⲡ.]]\t*c.* in magic: Ryl 102 [[S]] [[ⲡ. ⲛϩⲱⲟⲩⲧ, ⲡ. ⲛⲥϩⲓⲙⲉ]] __male__, __female iron__.\n*III.* adj, with names of weapons, tools, utensils, _e g_ [[ⲥⲕⲉⲩⲟⲥ]] AZ 21 156 [[S]], [[ⲥⲟⲧⲃⲉϥ]] 3 Kg 6 7 (BHom 106) [[S]], [[ϩⲛⲁⲁⲩ]] Nu 35 16 [[S]][[B]], BM 1064 [[S]] and often, mostly = [[σιδηροῦς]] (_v_ Reil _Beiträge_ 64).\n[[ϯ ⲡ.]], __put irons upon__: Aeg 39 [[B]] [[ⲉⲣⲉⲡⲓⲃ. ⲧⲟⲓ ⲉⲛⲟⲩϫⲓϫ]], ShC 73 200 [[S]] they decided [[ⲉϯ ⲡ. ⲉⲣⲟϥ]], DeV 88 [[B]] [[ⲁⲛϯ ⲃ. ⲉⲣⲱⲟⲩ]], C 86 106 [[B]] prisoner [[ⲉϥⲧⲟⲓ ⲛⲃ.]]\n[[ϫⲓ ⲡ.]], __wear__, __be in irons__: Mor 17 98 [[S]] [[ⲉⲩϫⲓ ⲡ.]] [[σιδηρωμένους]], Ep 219 [[S]] [[ϣⲁⲧⲛⲁⲩ ⲉⲓϫⲓ ⲡ]], PRain 4716 [[S]] admonitions end with [[ⲛⲡⲉⲣϫⲓ ⲡ. ⲉϥϩⲟⲟⲩ]].\nAs name, [[ⲃⲉⲛⲓⲡⲉ]], [[ⲃⲁⲛⲓⲡⲉ]], [[ⲃⲉⲛⲓⲡⲓ]], transl [[حديد]], a saint in Diptychs (CaiEuch 360, Renaudot _Lit_ 1 18), Synax (3d Baremhât), Hymns (Ryl 423); [[Βενῖπις]], [[Βανῖ-]] _cf_ [[Σίδηρος]] (Preisigke).
107 582	41a	v	[[[ⲃⲛⲧ]]] _v_ [[ⲃⲟⲛⲧⲉ]] & [[ϥⲛⲧ]].
582	41a		[[[ⲃⲟⲛⲧⲉ]]], [[ⲃⲁⲛⲧⲉ]] [[S]], [[ⲃⲁⲛⲧⲉ]] [[A]], [[ⲃⲟⲛϯ]] [[B]], [[ⲃⲁⲛϯ]] [[F]], [[ⲃⲛⲧ-]] [[S]], [[ϥⲛⲧ-]] [[A]], [[ϥⲉⲛⲧ-]] [[B]] nn f, *a.* __gourd__, __cucumber__: P 44 82 = 43 58 [[S]] [[ⲧⲃ., ⲧϯϭⲉ]] [[σικύδιον, σικυήλατον]] ([[-ρατον]]) [[مقثا]], C 41 69 [[ⲕⲁⲥ ⲛⲃ.]] = Miss 4 434 [[بذر مقاث]], CR '87 377 [[S]] recipe [[ϭⲱⲃⲉ ⲛⲃ.]], Cai 42573 1 [[S]] title of recipe [[ⲟⲩⲧⲁⲕⲟ ⲃ.]] ? a gourd-pest.\tIn simile Is 1 8 [[S]][[B]][[F]], EpJer 69 [[B]][[F]] [[ⲃ.]] or [[ⲙⲁ ⲛϩⲁⲣⲉϩ]] ([[ⲁⲣⲉϩ]], [[ⲁⲗⲉϩ]]) [[ⲛⲃ.]] = [[σικυήρατον]]; sim Mic 3 12 [[S]][[A]] [[ⲃ.]] ([[B]] [[ϫⲓϫⲓ]]) [[ὀπωροφυλάκιον]].\t*b.* __gourd-garden__ (?): Ryl 215 [[S]] gourd-seller sells half his [[ⲃ.]], P 46 150 [[S]] among names of house & its belongings, [[ⲧⲃ.]] [[مقثاة]].\n[[ⲥⲁⲣⲃ.]] [[S]] nn m, __gourd-seller__: Ryl 215.\n[[ϭⲗⲟϫ ⲙⲃ.]] __gourd__: AM 47 [[B]] = Jon 4 6 [[S]][[A]], Tri 304 [[S]] [[ⲃⲛⲧ ⲛⲉϭⲗⲟϭ]] [[κολοκύντη]].\nIn place-names [[ⲡϣⲁⲧⲃⲁⲛⲧⲉ]] Ep 519 [[S]] (_cf_ CO 314 [[S]] [[ⲁⲩϣⲱⲧ]] (?) [[ⲃ.]]) & ? [[ⲧⲉⲗⲃⲟⲛⲧ]] [[Θελβῶνθις]] Kr 133 (_cf_ EW 100), P 44 82 [[ⲙⲡⲁⲓⲧⲏ]] = 43 57 [[ⲙⲡⲏⲓⲧⲉ]] (_i e_ __bête__) [[مقثا .بادنجان]], ? miswritten for [[ⲃⲟⲛⲧⲉ]].
293	41b		[[[ⲃⲟⲛⲧ̣ⲉ̣]]] (?) [[A]] nn f, meaning unknown: BM 1224 12, imprecation on [[ⲟⲩⲁⲛ ⲛⲓⲙ ⲉⲧⲧⲁⲩ(ⲁ) ⲙⲡⲁⲣⲉⲛ ⲁⲧⲃ. ⲙⲛⲛⲉⲧⲥⲁϩⲟⲩ ⲙⲙⲁⲓ]].
1500	41b	v	[[[ⲃⲁⲓⲉⲛϩ]]] [[S]] _v_ [[ⲥⲧⲉⲃⲁⲉⲓϩ]].
583	41b		[[[ⲃⲁⲛϩⲟ]]] [[S]] nn m, meaning unknown: BM 1113 letter upbraiding dilatory messenger, entrusted with bringing 100 __solidi__, [[ⲛⲡⲉⲕϫⲓ ⲛⲟϭ ⲛⲕⲁⲓⲫⲁⲗⲁⲓⲟⲛ ⲁⲕⲁϣⲧⲕ ϩⲓⲡⲉⲓⲃ. ⲛϩⲟⲗⲟⲕ/…ⲧⲁⲣⲉⲡⲛ︤ⲉ︥ ⲛⲃⲉⲣⲃ. ⲉⲣⲟⲕ]] and thy family. Prob opp large sum ([[κεφάλ.]]), so implying smallness, poverty.
2725	41b		[[[ⲃⲓⲛⲁϫ]]] [[B]], [[ⲡⲓⲛⲉϭ]] [[F]] (Mt 14) nn m, __dish__, is Gk [[πίναξ]]: Mt 14 8, Mk 6 25, Lu 11 39 (all [[S]] [[ⲡⲓⲛⲁⲝ]]); Ex 25 29 [[τρύβλιον]] (var [[πίναξ]] & _ib_ 37 16) [[جام]], Mt 26 23 [[τρύβλ.]] ([[S]] [[ϫⲏ]], _cf_ //Si 34 14//Si 34 15//), TEuch 2 44 = [[ⲇⲓⲥⲕⲟⲥ]] (_cf_ BM 340) [[صينية]], C 89 13 = MG 17 352, K 150 [[صحفة، صحن]], _ib_ 252 [[قصعة]], P 55 11 [[مشرد، جفنة]], TEuch 2 494 [[ⲧⲁⲕⲟⲗⲟⲩⲑⲓⲁ ⲙⲡⲓⲃ.]] [[طشت]] (_cf_ BM 920 n). In P 44 11, 54, 66 [[πίναξ]] = [[طبق، سكرجة]]; MG 25 257, PO 11 373 dishes for food.
2726	41b		[[[ⲃⲉⲛϫⲓ]]] [[B]] nn f, __elephant's trunk__: K 164 [[زلومة الفيل]].
584	41b		[[[ⲃⲁⲣ]]] [[S]] nn, meaning unknown: Ep 332 enquiring as to [[ⲥⲓⲙⲥⲓⲙ]] sesame, [[ϫⲉⲉϥⲟⲩ ⲛⲃ. ϫⲛⲉϥϣⲁϩ[ ]]. ? _l_ [[ⲃⲣⲁ]] (_v_ [[ⲉⲃⲣⲁ]]).
231	41b	v	[[[ⲃⲏⲣ]]] [[F]] _v_ [[ⲟⲩⲏⲣ]].
585	41b		[[[ⲃⲓⲣ]]] [[S]][[A^2]][[B]], [[ⲃⲏⲗ]] [[S^f]] (Glos 114), [[ⲃⲓⲗ]], [[ϥⲓⲗ]] [[F]] nn m (f P 44 128, Glos _l c_); [[ⲃⲓⲣⲉ]] (CO 335, Ep 547, BAp 107), [[ⲃⲁⲓⲣⲉ]] [[S]] (ST 349, Bodl(P) b 9), [[ⲃⲁⲓⲣⲓ]] [[B]] (HL 97, _ib_ [[ⲃⲓⲣ]], MG 25 373, K 151) f; pl [[ⲃⲣⲏⲟⲩⲉ]] [[S]] [[قفافة]] P 44 128 (only), [[ⲃⲣⲏⲟⲩⲓ]] [[B]] Mallon 143, Lab (whence ?), __basket__ of palm-leaf (_v_ Ep 1 155, also 67, 72): C 89 10 = MG 17 350 [[قفة]], P 44, K _ut sup_; Mt 15 37, Mk 8 8 [[S]][[B]] (_cf_ Lu 9 17 [[ⲕⲟⲧ]] [[S]][[B]]) [[σπυρίς]]; Jo 6 13 [[A^2]] ([[S]][[B]] [[ⲕⲟⲧ]]) [[κόφινος]]; Glos _l c_ [[S]] [[γυργαθός]]; Miss 4 636 [[S]], CO 352 [[S]] for bread (_cf_ WS 153 n), BAp 107 [[S]] for cheese, CO 465 [[S]] for wool, _ib_ 335 [[S]] for fuel, LAA 543 [[F]] = P 129^18 103 [[S]] = EW 38 [[B]], O'LearyH 3, Ryl 319 [[S]] for straw, BAp 54 [[S]] [[κόφ.]], ShC 73 152 [[S]] for earth, C 89 10 [[B]] = Miss 4 537 [[S]] [[σπυρίδιον]] for sand; Z 296, 300 [[S]], MG 25 204 [[B]] [[σπυρίδ.]], Z 338 [[S]] = MG 25 209 [[B]], _ib_ 70, 200 [[B]], HL _l c_ [[B]] made by hermits; in Ac 9 25 [[S]][[B]] [[σπυρίς]] holds a man. [[ⲃⲓⲣ]], [[ⲃⲓⲣⲉ]] confused ? with [[βήριν]] = [[πήριον]] ([[πήρἀ]]), _e g_ CDan 34.
636	42a	v	[[[ⲃⲣⲉ]]] [[A]], [[ⲃⲣⲉⲉⲓ]] [[F]] _v_ [[ⲉⲃⲣⲁ]].
586	42a		[[[ⲃⲁⲁⲣⲉ]]] [[S]] nn, ? __boat__, __barge__: PMich '24 letter instructing pagarch as to dyke (?) repairs, naming [[ⲛⲉⲓⲛⲁⲓⲱ ⲙⲛⲛⲉⲩⲥⲟⲧⲁϩϥ]] (? _cf_ [[ⲥⲧⲉⲃⲁⲓϩ]]) [[ⲙⲛⲛⲉⲩⲃⲁⲁⲣⲉ]]. _Cf_ ? [[βᾶρις]] an Egyptian boat.
585	42a	v	[[[ⲃⲁⲓⲣⲉ]]], [[ⲃⲓⲣⲉ]] [[S]], [[ⲃⲁⲓⲣⲓ]] [[B]] _v_ [[ⲃⲓⲣ]].
587	42a		[[[ⲃⲉⲣⲱ]]] [[S]] nn f, __whirlpool__: ShP 131^4 92 [[ⲧⲃ. ⲙⲙⲟⲟⲩ ⲉⲧⲃⲣⲃⲣ ⲁⲩⲱ ⲉⲧⲕⲱⲧⲉ]] wherein foolish drift hither & thither, //Mor 32 23//Mor 32 47// boiling cauldron threw up [[ⲟⲩⲛⲟϭ ⲛⲃ. ⲙⲙⲟⲟⲩ]], Job 28 10 [[δίνη]] (gloss [[ἶλιγξ, κοίλωμα]]), Ps 68 15 ([[B]] [[ⲥⲁⲣⲁⲑⲏⲟⲩ]]) [[καταιγίς]], which elsewhere = [[ϩⲁⲧⲏⲩ]].\n[[ⲣ ⲃ.]], __be as a whirlpool__: ClPr 54 5 of lake dried up [[ⲧⲉⲧⲟ ⲛⲃ. ⲙⲡⲉⲩⲟⲉⲓϣ]] [[ὅσον βύθιον]].
2720	42a	v	[[[ⲃⲓⲣⲓ]]] [[ϭⲁϫ ⲙ-]] _v_ //[[ϫⲁϫ]]//[[ⲃⲏⲛⲉ]] 1°//.
2817	42a		[[[ⲃⲟⲩⲣⲉ]]] [[S]] vb intr, BKU 1 22 charm for insomnia, begins [[ⲁϥⲃ. ⲁϥⲃ.]], ? = [[ⲁϥⲡⲱⲱⲣⲉ]] _q v_.
2727	42a		[[[ⲃⲱⲣⲉ]]] [[S]] (only P 46 237 [[ⲡⲃ.]], unless BM 1127 6 [[ⲃⲟⲣⲉ]]), [[ϥⲟⲣⲓ]], [[ⲫⲟⲣⲓ]] [[B]] K 170, 172 nn m, a fish, __mugil cephalus__ [[بوري]] (_v_ MIF 51 66, 93).
588	42a		[[[ⲃⲱⲱⲣⲉ]]], [[ⲃⲉⲉⲣⲉ-]], [[ⲃⲟⲟⲣ⸗]], [[ⲃⲟⲟⲣⲉ†]] [[S]] vb *I.* intr (rare), __be excrescent__, __imposing__, __overbearing__: ShBMOr 8800 4 = R 2 3 9 rich man before tribunal lies, [[ⲛϥⲃ.]], swears falsely, bribes.\n*II.* tr, __push__, __drive__: ShA 1 48 [[ⲉⲩⲥⲱⲕ ⲙⲙⲟϥ… ϩⲉⲛⲕⲟⲟⲩⲉ ⲃⲗ ⲙⲙⲟϥ ⲛⲥⲱⲟⲩ]] (sim Ryl 70 246, Mor 36 34, C 73 10), _ib_ 450 [[ⲁϥⲃ. ⲙⲙⲟϥ…ⲁϥⲧⲟϭⲛϥ]] (these vbs often paral), P 131^3 83 rich [[ⲉⲩⲃ. ⲛⲛϩⲏⲕⲉ ⲛⲥⲁⲃⲟⲗ ⲙⲙⲟⲟⲩ]] ([[B]] [[ⲥⲓϯ ϩⲓⲫⲟⲩⲉⲓ]]) ShP 130^2 95 [[ⲁϥⲁⲣⲭⲉⲓ ⲛⲃ. ⲙⲡⲙⲏⲏϣⲉ]] forcing them to work, GuDorm 6 [[ⲛⲉⲩⲃ. ⲙⲙⲟϥ ϩⲛⲟⲩⲁⲡⲉⲓⲗⲏ]], Mor 56 37 sim, P 131^3 31 beasts feeding [[ϣⲁⲩⲃ. ⲛⲛⲉⲩⲉⲣⲏⲩ]];\t__repel__ c [[ⲛⲥⲁ-]]: Ps 117 10 [[ἀμύνεσθαι]], //ROC 13 171//ROC 18 171// [[ὠθεῖν]], Mor 36 34 walk not overbearingly [[ⲉⲧⲉⲧⲛⲃ. ⲛⲥⲁⲛⲉⲧⲛⲉⲣⲏⲩ]], Ryl 94 98 martyrs repelling their dissuaders, PCod 18;\t__defend__: Is 59 16 [[ἀμύν.]];\t__prevail over__, __defeat__: 2 Kg 24 4 [[ὑπερισχύειν πρός]], Col 2 18 ([[B]] [[ϭⲣⲟ ⲉ-]]) [[καταβραβεύεσθαι]], Miss 4 537 of sleep [[ⲉϥⲃ. ⲙⲙⲟⲟⲩ]] ([[B]] [[ϯϧⲓⲥⲓ]]) [[βαρεῖν]];\t__repress__, __expel__ (?): ShMiss 4 285 rulers of these [[τόποι]] [[ⲛⲥⲉⲃ. ⲁⲛ ⲙⲡⲥⲟⲟⲩⲧⲛ]], Ep 238 [[ⲙⲡⲣⲙⲉⲩⲉⲩⲉ]] (_sic_) [[ϫⲉⲛⲧⲁⲩⲃ. ⲙⲙⲟⲓ]], P 131^2 105 pray to Word that He [[ⲃ.]] human thoughts from mind;\tc [[ⲉⲃⲟⲗ ⲛ-]]: ShBMOr 8810 380 [[ⲉⲣⲃ. ⲙⲡⲛⲁ ⲙⲡⲛ︤ⲉ︥ ⲉⲃ. ⲙⲙⲟ]], ShA 1 69, Mun 177; c [[ⲉⲃⲟⲗ ϩⲓϫⲛ-]]: Wess 18 106 [[ἀποτρίβεσθαι]].\n― [[ⲉⲃⲟⲗ]] *I.* intr, __protrude__, __be swollen__: of pregnant womb, FR 18 [[ⲉⲣⲉϩⲏⲧⲥ ⲃⲟⲟⲣⲉ ⲉⲃ.]], sim R 2 1 7, _ib_ 10, BMis 89, 108 (= Mor 33 70 [[ⲉⲓ ⲉⲃ.]]), Bor 258 6 [[ⲉⲥⲃ. ⲉⲃ. ϩⲓⲧⲙⲡⲉϩⲣⲟϣ ⲙⲡϣⲏⲣⲉ ϣⲏⲙ]], Ryl 73 [[ⲁⲡⲟ]ⲅⲅⲟⲥ ⲛϩⲏ[ⲧⲥ ⲃⲱ]ⲱⲣⲉ ⲉⲃ.]] (_cf_ KKS 281); of overflowing waters, Cant 5 12 (misapplied Miss 4 230).\t*II.* tr, __repel__: Ez 34 21 ([[B]] [[ⲃⲟⲣⲃⲉⲣ]]) [[διωθεῖν]], GFr 434 [[ἐκβάλλειν]], BMis 357 (var [[ⲃ.]]).\n― nn m., __protuberance__: BMis 135 [[ⲡⲃ. ⲉⲃ. ⲛⲧⲉⲥⲕⲁⲗⲁϩⲏ]].
589	42b		[[[ⲃⲣⲃⲉ]]] (_sic_ MS) [[S]] nn, vessel or receptacle, holding a medicinal mixture: Z 629 (or ? _l_ [[ⲉⲩⲗⲁⲁⲩ ⲛⲃⲣⲣⲉ]]).
129	42b		[[[ⲃⲣⲃⲣ]]] [[S]], [[ⲃⲉⲣⲃⲉⲣ]] [[S^f]][[B]] vb intr, __boil__: Job 32 19 [[B]], Ez 24 5 [[S]] ([[B]] [[ϧⲙⲟⲙ]]), Ac 18 25 [[S]] ([[B]] do), Ap 3 15 [[B]] ([[S]] [[ϩⲙⲟⲙ]]) [[ζεῖν]], Job 41 22 [[S]][[B]], ROC 17 403 [[B]] [[ἀναζεῖν]], Ge 49 4 [[S]][[B]] [[ἐκζεῖν]].\t*a.* of water: PS 258, 374 [[S]], ShA 1 246 [[S]] [[ⲉⲧⲃ. ⲉⲧⲛⲑⲉ]] (_l_ [[ⲛⲑⲉ]]) [[ⲛⲟⲩⲙⲟⲟⲩ]] over fire, Tri 355 [[S]] [[ϩⲉⲛⲟⲑⲉ ⲙⲙⲟⲟⲩ ⲉⲩⲃ.]]; of oil: BMar 27 [[S]], AM 62 [[B]]; of fat: C 43 167 [[B]]; of pitch: C 43 120, _ib_ 86 219 [[B]]; of sulphur: C 43 151 [[B]]; of lead: BSG 182 [[S]], AM 231 [[B]]; of chemical compounds: AZ 23 113, 114 [[S]].\t*b.* or of vessels holding liquid: LCyp 29 [[S]], C 43 113 [[B]] = Mor 39 41 [[S^f]], AM 236, C 41 77 [[B]].\t*c.* metaph: Ez 47 9 [[B]] (BM 1247 154) [[ἐκζεῖν]], Ro 12 11 [[S]][[F]] ([[ⲃⲁⲣⲃⲉⲣ]], [[B]] [[ϧⲙⲟⲙ]]) [[ζεῖν]], PS 71 [[S]], ShA 1 398 [[S]] [[ⲁⲡϫⲓⲛϭⲟⲛⲥ ⲃ.]] the earth is filled with iniquity, Br 88 [[S]] [[ⲁⲓⲃ. ⲁⲓⲡⲱⲛⲉ ϩⲣⲁⲓ ⲛϩⲏⲧϥ]], Va 64 174 [[B]] [[ϯⲙⲉⲧⲁⲗⲟⲩ ⲉⲥⲃ.]], BMar 115 [[S]] remembrance [[ⲃ. ⲛϩⲏⲧϥ]] [[ἀνανεῖσθαι]].\n― [[ⲉⲃⲟⲗ]] tr, __cause to boil__, __pour forth__: MG 25 248 [[B]] all his members [[ⲃ. ⲙⲱⲟⲩ ⲉⲃ.]] (HL [[ἐνήνοχε]]).\n― [[ⲉϩⲣⲁⲓ]] *I.* tr, __cast up__: BIF 14 164 [[S]] sea [[ⲃ. ⲉϩ. ⲛⲛⲉⲥϩⲟⲉⲓⲙ]], BHom 110 [[S]] fountains [[ⲃ. ⲉϩ. ⲛⲟⲩⲙⲟⲟⲩ]].\t*II.* intr, __boil up__, __over__: GPar 2 6 [[S]] horn of oil [[ⲃ. ⲉϩ. ⲉϫⲛⲇⲁⲩⲉⲓⲇ]], BMis 538 [[S]] pit [[ⲉϥⲃ. ⲉϩ.]] like cauldron, _cf_ AM 323 [[B]] [[ⲃ. ⲉⲡϣⲱⲓ]].\n― nn m, __boiling__ heat: Mor 17 28 [[S]] [[βρασμός]] __eruption__, Va 67 3 [[B]] chill of poverty & [[ⲡⲓⲃ. ⲉⲧⲟⲓ ⲛⲑⲉⲣⲙⲟⲥ]] of wealth, C 86 286 [[B]] [[ⲃ.]] & [[ϣⲁϩ]] of boiling cauldron.\tAdj: ShC 42 50 [[S]] plague [[ⲛϫⲛⲟⲩϥ ⲛⲃ.]]
590	42b		[[[ⲃⲉⲣⲃⲓⲣ]]] [[B]] nn f, __missile__: Jer 27 9 ([[S]] [[ⲥⲟⲧⲉ]]) [[βολίς]], BMOr 8771 55 [[ϯⲃ.]] [[سكين]], but this in K 116 = [[μάχαιρα]].
2127	43a	v	[[[ⲃⲟⲣⲃⲣ]]] _v_ [[ϩⲃⲟⲣⲃⲣ]].
574 2127	43a	v	[[[ⲃⲟⲣⲃⲣ]]] [[ⲉⲃⲟⲗ]] __unloose__ _v_ //[[ⲃⲟⲗⲃⲗ]]//[[ϩⲃⲟⲣⲃⲣ]]//.
478	43a	v	[[[ⲃⲱⲣⲕ]]] [[F]] _v_ [[ⲃⲱⲗⲕ]].
2818	43a		[[[ⲃⲁⲣⲙⲉⲥⲓ]]] [[F]] nn, meaning unknown: CMSS 64 in account of payments, [[ⲉⲃ.]] Almost all entries relate to persons, rarely to places; only one other, [[ⲡⲙⲁ ⲛⲙⲟⲩⲉⲓ]], has preceding prep [[ⲉ-]]. Possibly contains [[ⲙⲉⲥⲓ]].
2728	43a		[[[ⲃⲁⲣⲛⲉϩ]]] [[F]] nn, __linseed__ ? ([[ⲃⲣⲁ]] + [[ⲛⲉϩ]]): AZ 23 39 in account [[ⲟⲩⲱⲛⲓ]] (? measure) [[ⲛⲃ., ⲡⲁϫⲓ]] (? [[S]] [[ⲡⲟϭⲉ]]) [[ⲥⲏⲛⲧⲓ ⲛⲃ., ⲋ̅ ⲛϫⲛⲉϩ]] (? [[S]] [[ϫⲁⲛⲉ]]) [[ⲛⲃ.]] Occurs also PMich 1553. _Cf_ Wess 18 93 [[S]] corn, grape-seed [[ⲙⲛⲡⲃⲣⲁⲛⲉϩ]]. [[S]] [[ⲡⲁⲣⲛⲉϩ]] (BP 3267 = [[ⲡⲣⲛⲉϩ]]) not same; _v_ [[ⲛⲉϩ]].
