key	word	type	en	crum	crum-last-page	dawoud-pages	categories	notes	senses	sisters	antonyms	homonyms	greek-sisters	quality
178	(S,A,L,B) Souo (F) Soua (S,A,B) Soue- (F) Soua- (S,B) Sou- (S,A,B) Souw= (S,B) Souo=	verb	{intr:} flow, pour, discharge /$gk: ρειν, αποχυνειν$/ | {tr:} pour, empty	602a		590a-590b			{"1": "flow, pour, discharge"}	1752; 377; 485; 2644; 1124 gush; 2766; 649				complete++
179	(S) nouHe,nwHe (S,A,B,F) nouH (A) nououH (B) noH (S,F) nou (S,B,F) neH- (S,B) naH= (Sa,A) nauH= (B) neH= (NH) naHou= *^<a href=ext codex II - The Apocryphon of John;106;30;22;aeinaHout eHoun mpmeHsep snau;codex I - The Tripartite Tractate;105;53;26;eFnanaHouF eHoun araF">Ext</a>^* (S,B) nhH+,neH+"	verb	{tr:} shake, cast off, set apart, separate /$gk: αποτινασσειν, εκκοπτειν$/ | (refl) |$ separate self |$ turn, return (A) | {intr:} be shaken out	241b		217a-217b,221a-221b,203a-203b,197b,207b-208a,204b			{"1": "shake", "2": "cast off", "3": "set apart, separate", "4": "turn, return"}	85; 91; 2319; 2127; 1361; 725; 2058; 1188; 1226; 1075; 1504; 1552		1220; 1221		complete+
180	(S,A,L,B,F) hrp (F) hlp (S) erp-,rp-	noun male	(f twice), wine /$gk: οινος$/	66b		53b-54a	food, substance		{"1": "wine"}	1098; 2221; 1394; 238; 2265				complete
181	(S,A,L) Tme (S) time (B,F) Tmi,timi (S) *tme	noun male	village /$gk: κωμη$/	414a		838b,453b	earth, construction		{"1": "village"}					complete
182	(S) saein,saine (A) seeine (L) seine (B,F) shini (F) shen,shin (NH) soein *^<a href=ext codex II - The Gospel of Thomas;107;39;6;mare soein rqerapeue nnetsooun mmoF;codex II - The Hypostasis of the Archons;109;89;16;ntos pe tamaau ntos te tsoein auw tsHime;codex II - On the Origin of the World;110;114;6;ntos pe ntaHr soein eros ouaats">Ext</a>^*"	noun male/female	physician /$gk: ιατρος$/	342b		363a	person		{"1": "physician"}			1436; 1437		complete
183	(S,O) toou (S) tooue (Sf,A,L,F) tau (B) twou	noun male	mountain  /$gk: ορος$/ | community of hermits, monastery | cemetery (in desert) | (as adj) of the hill, desert, (so) wild	440b		478a-478b	earth		{"1": "mountain", "2": "community of hermits, monastery", "3": "cemetry (in desert)", "4": "(as adj.) of the hill, desert (so wild)"}	2842; 1583; 2230; 1383; 1921; 2496 #drv3947				complete
184	(S,A,L,B) taJro (F) taJra (S,B) taJre- (S,B) taJro= (A,L,F) taJra= (S,A) taJrhu+ (S,A) taJraeit+ (A) taJrhou+ (L) taJrait+ (B,F) taJrhout+	verb	{tr:} make strong, firm, fast (/*caus of [Jro]*/)  /$gk: στηριζειν, ενισχυειν$/ | {intr:} be strenghtened, decided  /$gk: στηριζειν$/ | {qual:}  /$gk: στερεος$/	462b		443a-444b			{"1": "make strong, firm", "2": "be strengthened, decided"}	913; 727	213			complete+
186	(S,B) oeiS (A) aeiS (L,F) aiS (B) wiS	noun	cry	257b		524a,229b,682b-683a			{"1": "cry"}	467; 1874; 2052; 967; 421; 2519; 2874; 2268				complete
187	(S,A,L) Jro (S,A,L,B) Gro (F) Jra (S,L) Jraeit+ (S) Graeit+,Jroeit+,Groeit+ (Sa) Grait+ (S) Jrhout+ (B) Grhout+ (F) Jarhout+	verb	{intr:} be, become strong, firm, victorious /$gk: ανδριζεσθαι, ισχυειν, νικαν$/	783a		821a-822a			{"1": "be, become strong", "2": "be, become firm", "3": "be, become victorious"}	151; 1187 #drv1169; 702	490; 2633	2441; 2442; 2447; 2443		complete++
188	(S) Jenepwr (B) Jenefwr (A,L) Jmphi (F) Jelepol	noun female	(f S,F, m B), roof /$gk: δωμα$/	775a		740a	construction		{"1": "roof"}					complete
189	(S,L,F) Hhbs (S) H$^e^$bs (A) Qhbs (B) Khbs (F) Hhbes	noun male	lamp /$gk: λυχνος$/	658a		635a	tool		{"1": "lamp"}					complete
190	(S,A) Hieit (S) Heieit (S,L,B) Hit (L) Hiit	noun male	pit /$gk: βοθρος$/	718a		682a	earth, construction		{"1": "pit"}	3201; 1851				complete
191	(S,A,L,F) JnaH (Sf) JnH (A) Jna (B) GnaH (F) JneH,JenH (S) *JnauH (B) *GnauH	noun male	forearm | strength, violence /$gk: βια$/	777a		810b-811a,753a-753b	anatomy		{"1": "forearm", "2": "strength", "3": "violence"}	475; 2512; 1155; 1611		59		complete
192	(S,L) pwwne,pwne (A) poune (Sf) pwni (F) pwwni,paane (S) peene-,pene-,pnne- (A) poune- (F) pane- (S) poone=,pen= (S,A,F) paane= (A,L) pane= (S) poone+ (S) ^pane-	verb	{intr:} change, turn /$gk: μεταβαλλεσθαι, στρεφεσθαι, μετατιθεσθαι, εναλλασεσθαι$/ | {tr:} (S,F), turn /$gk: αφισταναι$/ | (p c S), perverter (/*?*/)	263b		302a-304a			{"1": "change, turn"}	1778				complete++
193	(S,L,F) Sthn (S) Stn (B) Sqhn	noun female	garment, tunic /$gk: χιτων, ιματιον$/	597a		571a	clothes		{"1": "garment, tunic"}	2534; 2293; 1351; 1107; 1164; 2428; 2659; 1360; 79 #drv3360; 3358 #drv3975				complete
194	(S) GapGep,GepGp (B) JapJep	verb	{intr:} be hurried, anxious /$gk: σπευδειν$/	827b		732a,793a,797b			{"1": "be hurried, anxious"}	161; 2841; 743; 2176; 1992				complete
195	(S) Hote (Sf,A,L) Hate (L) HaTe (B) HoT (F) HaT	noun female	fear /$gk: φοβος$/	720b		704b-705a	emotion		{"1": "fear"}	1913; 2145; 488; 1447; 2266; 1634; 982		2295		complete++
196	(S,B) sop (Sa,Sf,A,L,F) sap (S) sp-,sep- *^only *+ [snau]^* (S,A) * $$ swp (S) *swwp,soop	noun male	(noun) |$ occasion, time /*vices*/, turn |$ [sop] ... [sop], now ... again |$ turn, round (of prayer or reading) | (adverbial) | (with numerals)	349b		387a-388b	time		{"1": "occasion, time (vices), turn", "2": "turn, round (of prayer or reading)"}	219; 433		1454; 1453; 1455; 1452		complete
197	(S,B) SoSt (B) SwSt (Sa,Sf,L,F) SaSt	noun male	hindrance, impediment, (so) key /$gk: κλεις$/	608b		613a,592b-593a	tool		{"1": "hindrance, impediment", "2": "key"}			2021		complete
198	(S) eloole (A) elaale (L) elale (B) aloli (F) alaali,alali,elaali,ilali (S) elel-,lel-,leel-,lil- (A) elal- (B) al-,el-,lele-	noun male	grape /$gk: σταφυλη$/ |$ (single grape) |$ (bunch of grapes) |$ (unripe, sour grape) |$ (fresh grape) |$ (mellow, purple grape) |$ (dried grapes, raisins) |$ (raisins stoned) |$ (grape-stone, pip) |$ (other sorts) | wine /$gk: αμπελος$/ |$ wineyard |$ winedresser	54b		3b,122b-123a	species		{"1": "single grape", "2": "bunch of grapes", "3": "unripe, sour grape", "4": "fresh grape", "5": "mellow, purple grape", "6": "dried grapes, raisins", "7": "raisins stoned", "8": "grape-stone, pip", "9": "wine"}	436; 1433		424; 171; 431		complete
199	(S,B) tako (Sa,A,L) teko (F) taka (S,B,F) take- (L) teke-,teka- (S,B) tako= (A,L) teka= (F) taka= (S) takhu$^t^$+ (B) takhout+	verb	{tr:} destroy, lose (& many related meanings) /$gk: απολλυναι, φθειρειν$/ | {intr:} perish, be lost, destroy	405a		429b-430b			{"1": "destroy", "2": "lose", "3": "perish", "4": "be lost"}	1073; 357; 2305	409; 342; 400; 116; 395; 4			complete++
200	(S,A) pwrk (B) fwrk (S) prk-,perk- (B) ferk- (S) pork= (A) park= (B) fork= (B) ferk+	verb	{intr:} be plucked out, destroyed /$gk: εκριζουσθαι, αφανιζεσθαι$/ | {tr:} pluck, root out /$gk: εκτιλλειν$/	268b		501a			{"1": "pluck", "2": "root out"}	2615; 2065; 1538; 1580; 2147; 2070; 1587; 2873		1277		complete++
201	(S,A,L,B) ro (Sf) ra (F) la (S) ra- (S,B) re- (F) le- (S,A,L,B,O) rw= (F) lw= (S,A,L,B) *rwou (A) *roou (F) *lwou	noun male	mouth /$gk: στομα$/ | edge of weapon | door, gate /$gk: θυρα, πυλη$/	288a		323a-323b,323a,323a,325b-326b,326b,316a-316b,629a,629b,681b,449b	anatomy		{"1": "mouth", "2": "edge of weapon", "3": "door", "4": "gate"}	126; 1309; 301 palate; 467; 274; 1376; 2021; 1729; 2321; 1946; 272		1317; 379		complete++
202	(S) rpe (A) rpeie,rpeeie (L) rpeei,rpee (B) erfei (F) erphei,elphi,elphhi,elph (S,A) *rphue (A) *rphoue (B) *erfhoui	noun male	temple /$gk: ναος, ιερον$/	298b		42a	construction		{"1": "temple"}	1852; 2004; 1574; 1670; 98; 209				complete
203	(S) ouo$^e^$i (B) ouoi (A) oua$^e^$i (L) ouaeie (F) ouai	noun male	rush, course, (swift movement) /$gk: ορμη, ορμημα, ροιζος$/	472a		254b-255b,38b			{"1": "rush, course, swift movement"}					complete++
204	(S,A,L) twm (B) qwm (S) t$^e^$m- (B) qem- (S) tom= (B) qom= (O) twm= (S) thm+ (B) qhm+ (S) ^tam- (B) ^qam-	verb	shut |$ (mouth, door) /$gk: φρασσειν, φιμουν$/ |$ (eyes) |$ ([Hht]), shut the heart |$$ (as nn m), shutting, hardening of heart	412b		66b			{"1": "shut", "2": "shut (mouth)", "3": "shut (door)", "4": "shut (eyes)", "5": "shut (heart)"}	1989; 2349	8			complete
205	(S,A,L) Ja$^e^$ie (S) Jae (Sf,F) Ja$^i^$h	noun male	desert /$gk: ερημος$/ | (as adj)	745b		729b	earth		{"1": "desert"}					complete++
206	(S) tnnoou (Sa) tnau (A,L) tnnau (F) ten$^n^$au (S) tn$^n^$eu- (F) tnau-,tna$^o^$ut- (S) tn$^n^$oou=,tnnout=,tnnoous=,tnou= (A,L) tnna$^o^$u= (Sa,F) tna$^o^$u= (Sa) tnnaous= (Sa,Sf) tnnaut= (F) tnaout=,tnaus=	verb	{tr:} send /$gk: αποστελλειν, πεμπειν$/	419b		455a-455b			{"1": "send"}					complete+
209	(S,O) pwSn (F) pwSen (B) fwSen (S) peSn-,poSn= (B) foSn= (S) poSn+ (B) foSn+	verb	{intr:} do service, serve (as priest) /$gk: λειτουργειν, χειροτονειν$/ | {tr:} |$ serve |$ ordain (to office)	278b		505b			{"1": "serve (as priest)", "2": "ordain to office"}	98; 202; 381; 468				complete
210	(S,B) nau (S) nou (Sa,F) nw (A,O) no (L,F) neu	noun male	hour, time /$gk: καιρος, ωρα$/ | daylight | | morning, early hour [pn., fn. nSwrp] | midday [pn. mmeere] | evening [pn., fn. nrouHe, -Hi, HanarouHi]	234b		195a-196a	time		{"1": "hour, time", "2": "daylight"}	492; 1170; 14		30; 629		complete
211	(S,A,L,B,F,O) ounou (S) *ounooue (L) *ounaue (B) *ounwoui	noun female	hour /$gk: ωρα, καιρος$/	484b		252b-253a,839a	time		{"1": "hour"}	822; 1515; 2295; 1950; 64				complete
212	(S) eitn,itne (S) tnh (S,L) itn (S,B,F) iten	noun male	ground, earth, dust, rubbish /$gk: γη, κοπρος, χους$/ | ground as bottom, lower part	87b		86b,86b	earth, substance		{"1": "ground", "2": "earth", "3": "dust", "4": "rubbish", "5": "ground as bottom, lower part"}	108; 1288; 455; 1337; 2777; 847; 172; 2213				complete
213	(S,A,B,F) kim (S) kemt-,kemt= (S,A) ^km-	verb	{intr:} move, be moved /$gk: κινειν, σαλευειν, σειειν, φερειν, ταρασσειν$/ | {tr:} (S,B,F), move /$gk: κινειν, σαλευειν, ταρασσειν$/	108a		99b-100b			{"1": "move"}	45; 982	184			complete++
214	(S) touo (A) tebo (B) toubo (S) touo= (A) teba=,taba= (O) touaeit+	verb	{tr:} |$ show, teach  /$gk: δεικνυναι, διδασκειν$/ |$ send  /$gk: πεμπειν$/ (hence ?)  send forth (rays, light)  /$gk: εξαστραπτειν$/ | {intr:} learn  /$gk: δεχεσθαι, μανθανειν$/	443b	444a	467a			{"1": "show", "2": "teach", "3": "send", "4": "send forth (rays, light)", "5": "learn"}	1594				complete
216	(S,B) smot (S) smout,smwt (A,L,F) smat (B) smont (F) *smwwt	noun male/female	form, character, likeness, pattern /$gk: τυπος, ειδος, μορφη, οξις, ορασις, ιδεα, ομοιωμα$/	340b		375b-377a	concept		{"1": "form, character, likeness, pattern"}	2247; 1340; 1029; 987				complete
217	(S,A,L) oueine (F) ouini	verb	{intr:} pass by /$gk: παρερχεσθαι, διερχεσθαι$/	483b		246a			{"1": "pass by"}					complete
218	(S,A,L) Smmo (S) Smo,Smw (B) Semmo (F) Sem$^m^$a,Sim$^m^$a (Sf,F) Sma (S,L) ****Smmw (A) ****Smmou (S) *Smmoi (A,L) *Smmai (B) *Semmwou (F) *Simmaau (NH) *Smmoei *^<a href=ext codex II - The Gospel of Thomas;107;44;13;eFnatwHm nnSmmoei;codex XII - fragments;157;1;19;nSmmoei">Ext</a>^*"	noun	stranger /$gk: αλλοτριος, αλλογενης, ξενος$/ | (as adj), strange	565b		562a-562b	person		{"1": "stranger", "2": "(as adj.) strange"}					complete++
219	(S) ouoeiS (A,L,F) ouaeiS (L,F) ouaiS	noun male	time, occasion /$gk: καιρος, ευκαιρια, χρονος$/	499b		253b-254b	time		{"1": "time, occasion"}	196				complete++
220	(S) maau (S,B) mau (Sa) mo (Sa) mou (Sa,A) mw (L,F) meeu (F,O) meou (F) mhou	noun female	mother /$gk: μητηρ$/ |$ (church as mother) |$ (as title)	197a		139b	person		{"1": "mother", "2": "(church as mother)", "3": "(as title)"}	57; 20; 174; 1905; 1919; 1070				complete
221	(S,L) twlm (A,L) twlme (B) qwleb (F) twleb (S) twlm= (B) qolm=,qolb= (S) tolm+ (Sf) talm+ (B) qoleb+ (F) taleF	verb	{intr:} be defiled, besmirched /$gk: μολυνεσθαι, μωμεισθαι, ρυπασθαι$/ | {tr:} defile, pollute	410b		66a			{"1": "defile", "2": "pollute", "3": "besmirch"}	487; 141; 2707				complete++
222	(S) tbbo (A) tbouo (L,B) toubo (F) teb$^b^$o,teb$^b^$a,touba (S) tbbe- (B) toube- (F) tubba- (S) tbbo= (A) tboua= (L) touba= (B) toubo= (S) tbbhu+ (A) tbbouaeit+ (L) touba$^e^$it+,toubhu+ (B) toubhout+ (F) tebhout+,tubbhout+,tebhu+	verb	{intr:} become, be pure (/*causative of [ouop]*/) /$gk: καθαρος ειναι, καθαριζεσθαι, καθαιρεσθαι$/ | {qual:}  /$gk: καθαρος$/ | {tr:} make pure, purify /$gk: καθαριζειν$/	399b		464b-465b			{"1": "make pure, purify"}	381; 1506				complete+
223	(S,L) GwSt (S) SwSt (B) JouSt,SouSt (F) JwSt (S) GoSt+ *^c [Ha-]^* (L) GaSt+	verb	{intr:} look, see /$gk: βλεπειν, θεωρειν, οραν, σκοπειν$/	837a		764a-766a			{"1": "look, see"}	458; 30; 1427; 28; 1154				complete+
224	(S,A,L,B) Se (S,Sa,F,O) Sh (S) Sei (Sa) Sai (B) **maSe	verb	{intr:} go |$ (c ethic dat) /$gk: πορευεσθαι, απερχεσθαι, βαδιζειν$/ |$ (without dat) | {tr /*refl ?*/:}	544b		557a-558b			{"1": "go"}	123; 138; 1171; 1148; 1674	5	1848; 1850; 1847; 20; 451; 1844; 1849		complete+
225	(S,L) He (S) Hih (A) Qe (B) Ke (Sf,F) Hh (F) Hi	noun female	manner	638b		631b-632a	concept		{"1": "manner"}	1340; 1069		2104; 2078		complete
226	(S) GwJb,GwJF (S,F) GwJeb (S) kouJb$* (A,L) GwJbe (B) JwJeb (S) GeJb- (A) GJbe- (B) JeJeb- (S) GoJb= (Sa) GaJb= (S) GoJb+,GaJb+,GoJF+ (Sf,F) GaJF+ (A,L) GaJbe+ (B) JoJeb+ (F) GaGF+,JaJeF+ (B) ^JaJeb-	verb	{intr:} be small, less, humble /$gk: ελαττονειν, ηττασθαι$/ | {qual:}  /$gk: μικρος, ασθενης$/ | {tr:} lessen /$gk: ελαττουν, κολοβουν$/	841b		789b-790a,833b			{"1": "be small", "2": "be less", "3": "be humble", "4": "lessen"}	2373; 1675; 1378; 2122; 62; 923				complete++
227	(S,B,F) Hh (S) Hih (S,L) eHh (A) Hi,eHi,eHiei (A,L) Hi- (S,A,L,B) Hht= (S,O) eHht=	noun female	fore part, beginning, (without art) /$gk: αρχη$/ | (as adjective) | (with art)	640b		664b-665b,43a	direction		{"1": "fore part", "2": "beginning"}	2325; 14; 2106	67; 1306			complete
228	(S,B) taHo (Sa,A,L) teHo (F) taHa (S,B,F) taHe- (A) teHe-,teHo- (L) teHa- (F) taHa- (S,B) taHo= (Sa,Sf,F) taHa= (Sa) teHo= (A,L) teHa= (S) taHhu+ (Sa) teHoeit+ (B,F) taHhout+	verb	{tr:} |$ make to stand, set up (/*causative of [wHe]*/)  /$gk: ισταναι, εγειρειν$/ |$ reach, befall, touch  /$gk: λαμβανειν, επιτυγχανειν, φθανειν$/ |$ meet |$ catch, arrest | {intr:} attain, be able  /$gk: καταλαμβανειν$/	455a		440b-441a,441a-441b,441b,441b,441b-442a,442a-442b			{"1": "make to stand", "2": "set up", "3": "reach", "4": "befall", "5": "touch", "6": "meet", "7": "catch", "8": "arrest", "9": "attain, be able"}	148; 160; 263; 251; 360	3136			complete++
229	(S,A,L,B,F) Jwk (S,B) Jek- (S,L,F) Jak- (S,B) Jok= (A,L,F) Jak= (A,F) Jaak= (S,A,L,B,F) Jhk+	verb	{intr:} be completed, full, end (life) /$gk: τελεισθαι$/ | {tr:} complete, finish /$gk: τελειν$/	761a		774a-776a			{"1": "be completed", "2": "be full", "3": "end life", "4": "complete", "5": "finish"}	87				complete++
230	(S) sobte,soFte (Sf,A,L) sabte (B) sobT (F) sabT,saFT (S,A) sbte- (S,B) sebte- (S,A,L,F) sbtwt= (B) sebtwt= (S,A) sbtwt+ (S) sFtwt+ (A) sbtat+ (L) sbtait+ (B) sebtwt+	verb	{intr:} be ready, prepare, set in order /$gk: ετοιμαζειν$/ | {qual:} ready | {tr:} prepare, set in order, (often refl) /$gk: ετοιμαζειν$/	323a		380b-381b			{"1": "be ready", "2": "prepare", "3": "set in order"}	924; 705; 913				complete++
231	(S,A,L,B,F,O) ouhr (S) ouhhr (B) bhr (F) ouhl (S) ****ouhre (F) ****ouhli	interrogative pronoun	how great, many, much? |$ (independent) /$gk: ποσος; πηλικος;$/ |$ (c preceding [n-]), by how much? /$gk: ποσω$/ |$ (c [n-] gen) |$ (without [n-] S,L) |$ (c [a-]) about /*circa*/ |$ ([epauhr, epabhr] B), to what extent? (so) in vain	488b		251a			{"1": "how greart?", "2": "how many?", "3": "how much?"}					complete
232	(S,B) Hmot (A,L,F) Hmat (B) eHmot (L) *Hmoot (B) *Hmwt$$	noun male	grace, gift /$gk: χαρις$/ | (as adj)	681a		687b-688b	concept		{"1": "grade", "2": "gift"}					complete++
233	(S) sGraHt,sGreHt,SGraHt,sSGraHt (A,B) sGrhH	verb	{intr /*qual*/:} rest, pause, be quiet /$gk: ησυχαζειν, σιωπασθαι$/ | {tr /*refl*/:}  (S), rest oneself	389b		426b			{"1": "rest", "2": "pause", "3": "be quiet"}					complete
234	(S,B) mton (S,B) emton (A,L,F) mtan (F) emtan (S) motn+ (A) matne+ (B) moten+ (F) matn+	verb	{intr:} be at rest, at ease, be relieved (of sickness) /$gk: αναπαυεσθαι, υγιαζειν, ευξυχειν, ησυχαζειν$/ | {qual:} easy, hale, satisfied /$gk: υγιης, ισχυων$/ | {tr /*refl*/:} |$ rest self /$gk: αναπαυεσθαι, αναλυειν, αναξυχειν$/ |$ go to rest, die /$gk: τελεουσθαι, αναλυειν$/	193b		166a-167a,183a-184b,172b,139a,36b,162a			{"1": "be at rest", "2": "be at ease", "3": "be relieved (of sickness)", "4": "be easy", "5": "be hale", "6": "be satisfied", "7": "rest self", "8": "go to rest, die"}	718; 24; 501; 1118	1218			complete++
235	(S) HotHt (Sf,L) HatHt (A) QatQt (B) KotKet (F) HatHet (S) HetH$^e^$t- (B) KetKet- (S,F) HetHwt= (A) QtQwt= (B) KetKwt= (O) KtKot= (S,Sa) HetHwt+ (B) KetKwt+	verb	{intr:} inquire, examine /$gk: ερευναν, εκζητειν, εξιχνιαζειν$/ | {tr:}  /$gk: ερευναν$/	728a		641b-642b			{"1": "inquire", "2": "examine"}	281; 2442				complete
236	(S,L,F) twS (A) twSe (B) qwS (S) teS-,toS- (A) taSe- (B) qeS-,qaS- (Sf,F) taS- (S) toS= (Sa,Sf,A,L,F) taS= (B) qaS= (S,A,L) thS+ (B) qhS+	verb	{intr:} be boundary, be fixed, be moderate  /$gk: οριζειν, τασσειν$/ | {tr:} limit, determine, appoint  /$gk: οριζειν$/	449b		70a-71a,71a-72b,58b,58b,56a,59b,63b-64a			{"1": "be boundary", "2": "be fixed", "3": "be moderate", "4": "limit", "5": "determine, appoint"}	913; 2511; 498				complete+
237	(S) eiwrm,iwrm (B,F) iwrem (NH) eiwrme *^<a href=ext codex II - The Apocryphon of John;106;6;35;aFeiwrm Hm ptreFeiwrme de nGi paHoraton mpna;codex II - The Apocryphon of John;106;20;32;ntaroueiwrme atpe aunau eroF Je FJose nGi peFmeeue">Ext</a>^* (S) eiorm+ (A,F) eiarm+ (B) iorem+"	verb	{intr:} stare, be astonished, dumbfounded /$gk: εξισταναι$/	84a		86b-87a,83b			{"1": "stare", "2": "be astonished, dumbfounded"}	2773; 2785; 1817; 1601; 530				complete++
238	(S) moou (A,L,F) mau (L) maou (B) mwou (S,B,F) mou- (Sf) me- (S) *moueih,mouheie,moueiooue,mouneiooue,mouniooue (A) *mouieue,moueiaueie (NH) *moueiheu *^<a href=ext codex VII - The Paraphrase of Shem;133;2;1;nthou Hn Hnmoueiheu">Ext</a>^*"	noun male	water /$gk: υδωρ$/	197b		186b-187b,168a	substance, earth, physics		{"1": "water"}	1037; 2245; 2219; 2164; 1831; 1146; 2607; 745; 163; 180; 634; 3201				complete
239	(S) peire,pire (B) firi,fer- (S) pore+ (B) fori+ (S,A) preiwou+ (S) pereiwou+ (B) feriwou+,feriwout+ (S) *^also^* prre (A) prrie (L) prreie,prie	verb	{intr:} come forth (of light, blossom &c) /$gk: ανατελλειν, λαμπειν, ανθειν, καινειν$/ | {tr:} (B), put forth, proclaim	267a		493a-493b,493b-494a,494a	physics		{"1": "come forth", "2": "come forth (of light)", "3": "come forth (blossom)", "4": "puth forth", "5": "proclaim"}	1; 709; 567; 2779; 330; 1775; 399; 1656; 2709; 2031; 36 #drv3201; 1505; 1041	168; 2157; 271; 846; 633; 2626		C9219; C11143; C9181	complete++
240	(S,A,L,B,F) smou (S) smw (L) smame (S,L) smamaat+,smamant+,smaat+ (A,B) smamat+ (B) smauat+ (F) smamet+,smameet+ (B) smarwout+	verb	{intr:} bless, praise /$gk: ευλογειν, αινειν$/	335a		377a-377b	concept		{"1": "bless", "2": "praise"}		2329; 1546			complete++
241	(S,F) twk (B) qwk (S,A,F) twG (S) twJ (B) toJi (F) toGe *^[reFt.]^* (S) twk- (F) taG- (S) tok=,tak=,toG=	verb	{intr:} kindle (fire), stoke, heat (oven &c) /$gk: καιειν$/ | {tr:} stoke, heat /$gk: εκκαιειν$/ | | (vb) bake |$ {intr:}  /$gk: πεσσειν$/ |$ (as nn m), baking	404a		65b,474b-475a,59b	physics		{"1": "kindle (fire)", "2": "stoke", "3": "heat (oven)", "4": "bake"}	835; 2038; 2499; 1826; 136; 946; 262		3106; 727; 2774; 337		complete++
242	(S,B,F) SwS (A) QwQ (S) SouSou (S,B,F) SeS- (B) SaS- (S,B) SaS=,SoS= (S,L,B,F) ShS+	verb	{intr:} scatter, spread (esp of odour & by wind) /$gk: λικμαν, πνειν$/ | {tr:} /$gk: λικμαν, καπνιζειν, λεαινειν$/	605a		612b-613a,613a	earth		{"1": "scatter, spread", "2": "scatter, spread (of odour, by wind)"}	1147; 2447		346; 243; 1523; 244; 2016		complete++
243	(S,L,B,F) SwS (S) swSe (Sf) SouSou (A) QwQ (S,B) SeS- (Sf) SaS- (S,B) SaS=,SoS= (A) QaQ= (F) SeS= (S,L,B,F) ShS+ (S) shS+ (A) QhQ+	verb	{tr:} make equal, level, straight /$gk: ομαλιζειν$/ | {qual:} (B /*rare*/) /$gk: ομαλιζειν$/	606a		611b-612b,613a			{"1": "make equal", "2": "make level", "3": "make straight"}	941		346; 242; 1523; 244; 2016		complete+
244	(S,B) SwS,SeS- (S) SwS- (S,B) ShS+	verb	{intr:} twist (rope &c) /$gk: κλωθειν$/	607a		613a,555a			{"1": "twist rope"}	2153; 1934		346; 243; 242; 1523; 2016; 279; 1844; 1851; 1846; 1845; 3166; 1853		complete
245	(S,A,L,F) telhl (S) tll (L) talhl (B) qelhl	verb	{intr:} rejoice /$gk: αγαλλιασθαι, σκιρταν$/	410a		57b			{"1": "rejoice"}	1354; 480	1227; 2121; 1654			complete++
246	(S,A,L,F) twHs (B) qwHs (S) teHs- (S,L) taHs- (B) qaHs- (F) teHse- (S,Sf,A) taHs= (S) toHs= (B) qaHs= (F) teHs= (S) taHs+ (B) qaHs+	verb	{tr:} anoint  /$gk: χριειν, αλειφειν$/	461b		74b			{"1": "anoint"}	964; 1825; 2490; 1640; 1417				complete++
247	(S,A,L,B) taeio,taio (F) taeia,taia (S,B,F) taeie-,taie- (L) taeia-,taia- (S,B) taeio=,taio= (A,L) taeia=,taia= (S) taeihu+,taihu+,tahu+ (A) taeihou+,taihou+ (A,L) taiaeit+ (L) taeiaht+,taiaht+ (B,F) taihout+ (F) tahout+	verb	{tr:} honour, pay respect to, adorn /$gk: τιμαν, αινειν$/ | {intr:} (B) | {qual:} honoured, excellent, precious /$gk: τιμιος$/	390b		428b-429b			{"1": "honour", "2": "pay respect to", "3": "adorn", "4": "excellent", "5": "precious"}	35				complete++
248	(S,A) sooHe (S) soHe (Sf) saaHe (NH) swHe *^<a href=ext codex II - The Apocryphon of John;106;22;17;etswHe mmoF Hm peFmeeue nHouo apSorp narxwn">Ext</a> ?^* (S) saHe-,saHw= (A,L) seHw="	verb	{intr:} be set up, upright (/*caus of [wHe]*/) /$gk: ανορθουσθαι, ετοιμαζεσθαι$/ | {tr:} |$ |$ (as nn m), setting up, uprightness | | /*(prob same as [sooHe]) reprove, correct*/	380b		387a			{"1": "set up, upright"}	721		261; 335		complete++
249	(S) Hwt$^e^$r (L) Hwtre (NH) Hatr,Hatr- *^<a href=ext codex II - The Hypostasis of the Archons;109;87;22;Sina Hm pouwS mpeiwt esnaHatr pthrF mn pouoein;codex X - Marsanes;143;39;6;smh de mmeu seHatr anetrsumfwni">Ext</a>^* (S) Het$^e^$r-,Hot$^e^$r- (F) Hater- (S) Hotr=,Hotr+,Hotre+ (B) Hoter+"	verb	{intr:} be joined, doubled | {qual:} | {tr:} /$gk: συνιεναι, ομοφωνειν$/	726a		725b-726a,698b,698b,698b,698b-699a,724b,13a,2a,654a,664a			{"1": "be joined, doubled", "2": "hire to", "3": "agree with"}	457; 1420; 479			C8801	complete++
250	(S,B) mokmek (Sf,F) makmek (A) makmk (B) mekmek- (S,B) mekmouk=	verb	{intr:} think, ponder /$gk: λογιζεσθαι, νοεισθαι, ενθυμεισθαι$/ | {tr:} meditate, intend | (refl /*oftenest*/), consider |$ (with suff) |$ (with [mmo=])	162a		162b-163a,144a			{"1": "think", "2": "ponder", "3": "meditate", "4": "intend", "5": "consider"}	145; 314; 281 #drv4440				complete++
251	(S,L) JwnF (S) SwnF (S) JooneF+ (L) Ja$^a^$nF+	verb	{intr:} happen, befall | {tr:} meet with, fall upon	776b		781a,603a			{"1": "happen", "2": "befall", "3": "meet with", "4": "fall upon"}	263; 228				complete++
